experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,search_evaluations,unique_candidates,fidelity_counts,search_wall_s,peak_rss_mb,cfg_p,cfg_opt_iters,cfg_warm_start,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10,utility_cvar10,utility_min,service_violation,cfg_n_qubits,cfg_layers,cfg_reupload,cfg_train_iters,cfg_lr
clearaccept_confirmatory,qaoa,104,sequential,30.0,42.00000000000002,125.41765900798661,84,39,"{""1"": 60, ""2"": 24}",0.5323732080869377,176.03125,2.0,20.0,0.0,128,0,2,classical,0.15790907738553153,0.004774780856678262,0.0,0.0,0.0381982468534261,0.0,0.005003970337798818,0.0,-0.15844542213763552,-0.5040539474350503,-0.5532269210527814,-0.6349497208535902,0.0,,,,,
clearaccept_confirmatory,qaoa,104,capo_joint_only,30.0,30.0,403.4076290343561,30,10,"{""2"": 30}",0.31262195808812976,176.03125,3.0,20.0,1.0,2048,1,1,remote_sim,0.0,0.08732893180203945,0.0,0.0,1.268432,5.073728000000001e-08,0.09494206066603944,0.0,-0.013151189393930247,-0.016956667114978938,-0.018341135877080174,-0.01906003921510544,0.0,,,,,
clearaccept_confirmatory,qaoa,104,random,30.0,42.0,244.4928538578848,42,10,"{""2"": 42}",0.20208020799327642,176.03125,1.0,40.0,1.0,512,1,0,remote_sim,0.043896909198337844,0.04727977980203944,0.0,0.0,1.2561440000000001,5.024576000000001e-08,0.05481915609003944,0.0,-0.054389620811287696,-0.21727186746300756,-0.2430777998653639,-0.31779986697705764,0.0,,,,,
clearaccept_confirmatory,qaoa,104,capo_mf_no_rescore,30.0,32.16,77.1439606276825,54,23,"{""0"": 18, ""1"": 6, ""2"": 30}",0.11651845904998481,176.03125,2.0,80.0,1.0,2048,0,1,remote_sim,0.0,0.08730435580203945,0.0,0.0,1.262288,5.049152000000001e-08,0.09488060837803944,0.0,-0.013112726999771557,-0.016917043292568698,-0.01830166398255463,-0.019020330220927816,0.0,,,,,
clearaccept_confirmatory,qaoa,104,joint_mf,30.0,44.16,39.036573397854646,66,25,"{""0"": 18, ""1"": 6, ""2"": 42}",0.14310912496875972,176.03125,2.0,40.0,1.0,2048,0,0,remote_sim,0.0,0.04730435580203944,0.0,0.0,1.262288,5.049152000000001e-08,0.05488060837803945,0.0,-0.010531174007108537,-0.012961963801432884,-0.014077043986551538,-0.014761996090257423,0.0,,,,,
clearaccept_confirmatory,qaoa,104,capo_chance,30.0,44.19999999999997,3.262234078610142,152,22,"{""0"": 110, ""2"": 42}",0.0694777499884367,176.03125,1.0,20.0,1.0,2048,0,0,local_sim,0.0,0.108304,0.0,0.0,0.866432,0.0,0.11350259199999999,0.0,-0.01218840488293439,-0.017469910644131698,-0.017786236219448255,-0.017981847246196545,0.0,,,,,
clearaccept_confirmatory,qaoa,104,device_aware_sequential,30.0,42.0,830.068284076886,42,21,"{""2"": 42}",0.321137374965474,176.03125,1.0,40.0,0.0,2048,0,1,qpu_B,0.0,10.167081708347748,0.975,0.875,281.92,0.08191999999999999,15.954601708347747,0.05,-12.765441305226307,-13.880613958228876,-13.944249368970812,-13.974437015874468,1.0,,,,,
clearaccept_confirmatory,qaoa,104,fixed_design_scheduler,30.0,42.0,681.466980333307,42,10,"{""2"": 42}",0.17572699999436736,176.03125,1.0,40.0,0.0,2048,1,0,classical,0.15790907738553153,0.004829900979530066,0.0,0.0,0.03863920783624053,0.0,0.005061736226547509,0.0,-0.15845248083380664,-0.5040577576128407,-0.5532344240492026,-0.6349446640450964,0.0,,,,,
clearaccept_confirmatory,qaoa,104,classical_only,30.0,0.0,0.0,0,0,{},4.875008016824722e-06,176.03125,1.0,40.0,0.0,512,0,1,classical,0.15790907738553153,0.004822010261705145,0.0,0.0,0.03857608209364116,0.0,0.005053466754266993,0.0,-0.15845112838745715,-0.5040608297851541,-0.5532324863052478,-0.6349378569149489,0.0,,,,,
clearaccept_confirmatory,qaoa,105,sequential,30.0,42.00000000000002,85.5650243081596,84,42,"{""1"": 60, ""2"": 24}",0.3756717500509694,176.03125,2.0,80.0,1.0,512,1,2,remote_sim,0.00217586542019942,0.26258154657489385,0.025,0.0,1.262288,5.049152000000001e-08,0.27015779915089383,0.0,-0.07903843333037278,-0.041691019900857496,-0.5441687024442124,-2.0155394562010445,0.025,,,,,
clearaccept_confirmatory,qaoa,105,capo_joint_only,30.0,30.0,283.2192768189351,30,10,"{""2"": 30}",0.14280983293429017,176.03125,2.0,20.0,0.0,512,1,2,classical,0.022613209622772322,0.004829218669328839,0.0,0.0,0.03863374935463071,0.0,0.005061021165456623,0.0,-0.02319979618217121,-0.0753896846882357,-0.08908708969706479,-0.12925036590789424,0.0,,,,,
clearaccept_confirmatory,qaoa,105,random,30.0,42.0,328.2438298686012,42,10,"{""2"": 42}",0.25117970805149525,176.03125,1.0,40.0,1.0,2048,1,1,local_sim,0.0,0.148304,0.0,0.0,1.186432,0.0,0.155422592,0.0,-0.017995999622682564,-0.023182849165944566,-0.024378980642303,-0.024668937900056743,0.0,,,,,
