regime,seed,drift_strength,policy,action_loss,service_violation
queue_stress,124,1.5,expire_fallback,0.3,0.0
queue_stress,125,0.0,static_certificate,0.3,0.0
queue_stress,125,0.0,expire_fallback,0.3,0.0
queue_stress,125,0.5,static_certificate,0.3,0.0
queue_stress,125,0.5,expire_fallback,0.3,0.0
queue_stress,125,1.0,static_certificate,0.3,0.0
queue_stress,125,1.0,expire_fallback,0.3,0.0
queue_stress,125,1.5,static_certificate,0.3,0.0
queue_stress,125,1.5,expire_fallback,0.3,0.0
queue_stress,126,0.0,static_certificate,0.3,0.0
queue_stress,126,0.0,expire_fallback,0.3,0.0
queue_stress,126,0.5,static_certificate,0.3,0.0
queue_stress,126,0.5,expire_fallback,0.3,0.0
queue_stress,126,1.0,static_certificate,0.3,0.0
queue_stress,126,1.0,expire_fallback,0.3,0.0
queue_stress,126,1.5,static_certificate,0.3,0.0
queue_stress,126,1.5,expire_fallback,0.3,0.0
queue_stress,127,0.0,static_certificate,0.3,0.0
queue_stress,127,0.0,expire_fallback,0.3,0.0
queue_stress,127,0.5,static_certificate,0.3,0.0
queue_stress,127,0.5,expire_fallback,0.3,0.0
queue_stress,127,1.0,static_certificate,0.3,0.0
queue_stress,127,1.0,expire_fallback,0.3,0.0
queue_stress,127,1.5,static_certificate,0.3,0.0
queue_stress,127,1.5,expire_fallback,0.3,0.0
queue_stress,128,0.0,static_certificate,0.3,0.0
queue_stress,128,0.0,expire_fallback,0.3,0.0
queue_stress,128,0.5,static_certificate,0.3,0.0
queue_stress,128,0.5,expire_fallback,0.3,0.0
queue_stress,128,1.0,static_certificate,0.3,0.0
queue_stress,128,1.0,expire_fallback,0.3,0.0
queue_stress,128,1.5,static_certificate,0.3,0.0
queue_stress,128,1.5,expire_fallback,0.3,0.0
queue_stress,129,0.0,static_certificate,0.3,0.0
queue_stress,129,0.0,expire_fallback,0.3,0.0
queue_stress,129,0.5,static_certificate,0.3,0.0
queue_stress,129,0.5,expire_fallback,0.3,0.0
queue_stress,129,1.0,static_certificate,0.3,0.0
queue_stress,129,1.0,expire_fallback,0.3,0.0
queue_stress,129,1.5,static_certificate,0.3,0.0
queue_stress,129,1.5,expire_fallback,0.3,0.0
queue_stress,130,0.0,static_certificate,0.3,0.0
queue_stress,130,0.0,expire_fallback,0.3,0.0
queue_stress,130,0.5,static_certificate,0.3,0.0
queue_stress,130,0.5,expire_fallback,0.3,0.0
queue_stress,130,1.0,static_certificate,0.3,0.0
queue_stress,130,1.0,expire_fallback,0.3,0.0
queue_stress,130,1.5,static_certificate,0.3,0.0
queue_stress,130,1.5,expire_fallback,0.3,0.0
queue_stress,131,0.0,static_certificate,0.3,0.0
queue_stress,131,0.0,expire_fallback,0.3,0.0
queue_stress,131,0.5,static_certificate,0.3,0.0
queue_stress,131,0.5,expire_fallback,0.3,0.0
queue_stress,131,1.0,static_certificate,0.3,0.0
queue_stress,131,1.0,expire_fallback,0.3,0.0
queue_stress,131,1.5,static_certificate,0.3,0.0
queue_stress,131,1.5,expire_fallback,0.3,0.0
queue_stress,132,0.0,static_certificate,0.3,0.0
queue_stress,132,0.0,expire_fallback,0.3,0.0
queue_stress,132,0.5,static_certificate,0.3,0.0
queue_stress,132,0.5,expire_fallback,0.3,0.0
queue_stress,132,1.0,static_certificate,0.3,0.0
queue_stress,132,1.0,expire_fallback,0.3,0.0
queue_stress,132,1.5,static_certificate,0.3,0.0
queue_stress,132,1.5,expire_fallback,0.3,0.0
queue_stress,133,0.0,static_certificate,0.3,0.0
queue_stress,133,0.0,expire_fallback,0.3,0.0
queue_stress,133,0.5,static_certificate,0.3,0.0
queue_stress,133,0.5,expire_fallback,0.3,0.0
queue_stress,133,1.0,static_certificate,0.3,0.0
queue_stress,133,1.0,expire_fallback,0.3,0.0
queue_stress,133,1.5,static_certificate,0.3,0.0
queue_stress,133,1.5,expire_fallback,0.3,0.0
queue_stress,134,0.0,static_certificate,0.3,0.0
queue_stress,134,0.0,expire_fallback,0.3,0.0
queue_stress,134,0.5,static_certificate,0.3,0.0
queue_stress,134,0.5,expire_fallback,0.3,0.0
queue_stress,134,1.0,static_certificate,0.3,0.0
queue_stress,134,1.0,expire_fallback,0.3,0.0
queue_stress,134,1.5,static_certificate,0.3,0.0
queue_stress,134,1.5,expire_fallback,0.3,0.0
queue_stress,135,0.0,static_certificate,0.3,0.0
queue_stress,135,0.0,expire_fallback,0.3,0.0
queue_stress,135,0.5,static_certificate,0.3,0.0
queue_stress,135,0.5,expire_fallback,0.3,0.0
queue_stress,135,1.0,static_certificate,0.3,0.0
queue_stress,135,1.0,expire_fallback,0.3,0.0
queue_stress,135,1.5,static_certificate,0.3,0.0
queue_stress,135,1.5,expire_fallback,0.3,0.0
queue_stress,136,0.0,static_certificate,0.3,0.0
queue_stress,136,0.0,expire_fallback,0.3,0.0
queue_stress,136,0.5,static_certificate,0.3,0.0
queue_stress,136,0.5,expire_fallback,0.3,0.0
queue_stress,136,1.0,static_certificate,0.3,0.0
queue_stress,136,1.0,expire_fallback,0.3,0.0
queue_stress,136,1.5,static_certificate,0.3,0.0
queue_stress,136,1.5,expire_fallback,0.3,0.0
queue_stress,137,0.0,static_certificate,0.3,0.0
queue_stress,137,0.0,expire_fallback,0.3,0.0
queue_stress,137,0.5,static_certificate,0.3,0.0
queue_stress,137,0.5,expire_fallback,0.3,0.0
queue_stress,137,1.0,static_certificate,0.3,0.0
queue_stress,137,1.0,expire_fallback,0.3,0.0
queue_stress,137,1.5,static_certificate,0.3,0.0
queue_stress,137,1.5,expire_fallback,0.3,0.0
queue_stress,138,0.0,static_certificate,0.3,0.0
queue_stress,138,0.0,expire_fallback,0.3,0.0
queue_stress,138,0.5,static_certificate,0.3,0.0
queue_stress,138,0.5,expire_fallback,0.3,0.0
queue_stress,138,1.0,static_certificate,0.3,0.0
queue_stress,138,1.0,expire_fallback,0.3,0.0
queue_stress,138,1.5,static_certificate,0.3,0.0
queue_stress,138,1.5,expire_fallback,0.3,0.0
queue_stress,139,0.0,static_certificate,0.3,0.0
queue_stress,139,0.0,expire_fallback,0.3,0.0
queue_stress,139,0.5,static_certificate,0.3,0.0
queue_stress,139,0.5,expire_fallback,0.3,0.0
queue_stress,139,1.0,static_certificate,0.3,0.0
queue_stress,139,1.0,expire_fallback,0.3,0.0
queue_stress,139,1.5,static_certificate,0.3,0.0
queue_stress,139,1.5,expire_fallback,0.3,0.0
queue_stress,140,0.0,static_certificate,0.3,0.0
queue_stress,140,0.0,expire_fallback,0.3,0.0
queue_stress,140,0.5,static_certificate,0.3,0.0
queue_stress,140,0.5,expire_fallback,0.3,0.0
queue_stress,140,1.0,static_certificate,0.3,0.0
queue_stress,140,1.0,expire_fallback,0.3,0.0
queue_stress,140,1.5,static_certificate,0.3,0.0
queue_stress,140,1.5,expire_fallback,0.3,0.0
queue_stress,141,0.0,static_certificate,0.3,0.0
queue_stress,141,0.0,expire_fallback,0.3,0.0
queue_stress,141,0.5,static_certificate,0.3,0.0
queue_stress,141,0.5,expire_fallback,0.3,0.0
queue_stress,141,1.0,static_certificate,0.3,0.0
queue_stress,141,1.0,expire_fallback,0.3,0.0
queue_stress,141,1.5,static_certificate,0.3,0.0
queue_stress,141,1.5,expire_fallback,0.3,0.0
queue_stress,142,0.0,static_certificate,0.3,0.0
queue_stress,142,0.0,expire_fallback,0.3,0.0
queue_stress,142,0.5,static_certificate,0.3,0.0
queue_stress,142,0.5,expire_fallback,0.3,0.0
queue_stress,142,1.0,static_certificate,0.3,0.0
queue_stress,142,1.0,expire_fallback,0.3,0.0
queue_stress,142,1.5,static_certificate,0.3,0.0
queue_stress,142,1.5,expire_fallback,0.3,0.0
queue_stress,143,0.0,static_certificate,0.3,0.0
queue_stress,143,0.0,expire_fallback,0.3,0.0
queue_stress,143,0.5,static_certificate,0.3,0.0
queue_stress,143,0.5,expire_fallback,0.3,0.0
queue_stress,143,1.0,static_certificate,0.3,0.0
queue_stress,143,1.0,expire_fallback,0.3,0.0
queue_stress,143,1.5,static_certificate,0.3,0.0
queue_stress,143,1.5,expire_fallback,0.3,0.0
