experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,cfg_n_qubits,cfg_layers,cfg_reupload,cfg_train_iters,cfg_lr,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10
exp7,vqc,4,joint_bo,10.0,24.0,7.040900712488367,4,3,1,60,0.15,512,0,1,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1876151802631581,-0.18765168703806384
exp7,vqc,4,joint_mf,10.0,24.0,3.6512623261981303,4,1,0,120,0.05,2048,1,1,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1876151802631581,-0.18765168703806384
exp7,vqc,4,random,60.0,72.0,18.458097544879177,4,2,1,30,0.15,512,0,0,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1876151802631581,-0.18765168703806384
exp7,vqc,4,joint_bo,60.0,72.0,15.078543459877249,6,2,1,60,0.15,128,0,0,local_sim,0.209375,0.0030719999999999996,0.0,0.0,0.024575999999999997,0.0,0.0032194560000000003,0.0,-0.2097223279185955,-0.21419878968532832
exp7,vqc,4,joint_mf,60.0,72.72000000000014,2.331076252836164,2,2,0,120,0.15,2048,1,0,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1876151802631581,-0.18765168703806384
exp7,vqc,5,random,10.0,24.0,3.5670990644490232,4,2,0,30,0.15,512,1,2,local_sim,0.25875000000000004,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.2587801638639203,-0.2625421601466405
exp7,vqc,5,joint_bo,10.0,24.0,1.051947957751233,6,1,1,120,0.05,2048,0,1,local_sim,0.12250000000000001,0.0015359999999999998,0.0,0.0,0.012287999999999999,0.0,0.0016097280000000002,0.0,-0.12268870011286363,-0.13769376868334524
exp7,vqc,5,joint_mf,10.0,24.0,4.668931816803267,2,2,0,120,0.15,512,1,2,classical,0.175,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1751239161515069,-0.1751596083371604
exp7,vqc,5,random,60.0,72.0,21.068595402680746,4,3,0,60,0.05,2048,0,1,classical,0.175,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1751239161515069,-0.1751596083371604
exp7,vqc,5,joint_bo,60.0,72.0,8.46531734588938,6,1,0,30,0.15,128,0,2,local_sim,0.11124999999999999,0.0007679999999999999,0.0,0.0,0.006143999999999999,0.0,0.0008048640000000001,0.0,-0.11134435005643184,-0.12507627319891423
exp7,vqc,5,joint_mf,60.0,72.72000000000014,10.513076859007104,6,3,0,60,0.05,128,1,1,remote_sim,0.146875,0.08162190380910458,0.0,0.0,0.000144,5.7600000000000005e-12,0.08162276809710457,0.05,-0.15114602341770542,-0.1410084777898985
exp7,vqc,6,random,10.0,24.0,1.7265327307821032,6,3,1,120,0.05,128,1,1,local_sim,0.171875,0.004608,0.0,0.0,0.036864,0.0,0.004829184,0.0,-0.17233706762881357,-0.18791816839747152
exp7,vqc,6,joint_bo,10.0,24.0,1.1249658399058557,4,2,0,60,0.05,2048,1,0,classical,0.2,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.2001133666617553,-0.20015072788879565
exp7,vqc,6,joint_mf,10.0,24.0,1.3190233810075682,6,1,1,30,0.15,128,1,0,remote_sim,0.22562500000000005,0.01888657475969062,0.0,0.0,9.599999999999999e-05,3.84e-12,0.018887150951690617,0.0,-0.22661116356339947,-0.25045356863240786
