experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,wall_s,cfg_n_qubits,cfg_layers,cfg_reupload,cfg_train_iters,cfg_lr,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10
exp1,vqc_cancer,3,joint_rf,30.0,42.0,7.6644231194168695,1.2178751659812406,6,2,1,120,0.05,512,0,0,classical,0.0625,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.06261391723328205,-0.06265932777218093
exp1,vqc_cancer,4,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.05545145901851356,6,2,1,60,0.15,512,0,1,classical,0.025000000000000022,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.02511518026315816,-0.025151687038063864
exp1,vqc_cancer,4,joint_rf,30.0,42.0,3.9043262175661995,1.5488944170065224,4,2,1,120,0.15,512,0,2,classical,0.025000000000000022,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.02511518026315816,-0.025151687038063864
exp1,vqc_cancer,5,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.06572487496305257,4,1,0,30,0.05,128,0,1,classical,0.07499999999999996,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.07512391615150683,-0.07515960833716034
exp1,vqc_cancer,5,joint_rf,30.0,42.0,1.0389883309526455,0.32644304202403873,6,1,0,120,0.15,512,1,0,classical,0.07499999999999996,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.07512391615150683,-0.07515960833716034
exp1,vqc_cancer,6,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.07120374997612089,6,2,1,60,0.05,2048,0,1,classical,0.0625,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.06261336666175535,-0.06265072788879572
exp1,vqc_cancer,6,joint_rf,30.0,42.0,1.5266911029032162,1.0980812499765307,6,1,0,60,0.15,512,1,0,classical,0.0625,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.06261336666175535,-0.06265072788879572
exp1,vqc_cancer,7,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.11225004110019654,2,1,1,30,0.15,2048,1,1,classical,0.07499999999999996,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.07511489957306437,-0.07515497486759043
exp1,vqc_cancer,7,joint_rf,30.0,42.0,4.40828497048851,1.9648349159397185,4,1,1,120,0.15,128,0,0,local_sim,0.08187499999999999,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.0819067790954083,-0.10003208475631403
exp1,vqc_cancer,8,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.059236250002868474,2,2,1,120,0.15,2048,1,1,classical,0.03749999999999998,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.03761974743190032,-0.03765386713456969
exp1,vqc_cancer,8,joint_rf,30.0,42.0,4.600829151986147,1.8304311250103638,6,1,0,60,0.05,128,0,1,remote_sim,0.03125,0.050518990890086025,0.0,0.0,4.7999999999999994e-05,1.92e-12,0.05051927898608601,0.0,-0.03414074452282395,-0.041377164957537745
exp1,vqc_cancer,9,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.059223499963991344,4,1,0,60,0.05,2048,1,0,classical,0.050000000000000044,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.05011502635737708,-0.050154994754569436
exp1,vqc_cancer,9,joint_rf,30.0,42.0,3.6274764953950935,1.0717365000164136,6,2,0,30,0.15,128,0,2,classical,0.050000000000000044,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.05011502635737708,-0.050154994754569436
exp1,vqc_cancer,10,feasible_random,30.0,44.39999999999996,0.2680074002874989,0.49707087501883507,4,1,1,120,0.15,2048,0,1,classical,0.050000000000000044,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.050117641452062475,-0.0501404507622787
exp1,vqc_cancer,10,joint_rf,30.0,42.0,5.771355494710581,2.2388611669884995,6,1,0,30,0.05,512,1,0,local_sim,0.050000000000000044,0.0007679999999999999,0.0,0.0,0.006143999999999999,0.0,0.0008048640000000001,0.0,-0.050090953665812774,-0.05011240189855128
exp1,vqc_cancer,11,feasible_random,30.0,44.39999999999996,0.1800965119999999,2.64663750003092,6,3,0,60,0.05,2048,1,1,local_sim,0.0875,0.002304,0.0,0.0,0.018432,0.0,0.002414592,0.0,-0.08776295145568182,-0.08786732915434244
exp1,vqc_cancer,11,joint_rf,30.0,42.0,3.271352576696641,2.564229749958031,4,2,1,60,0.15,128,1,2,remote_sim,0.06687499999999999,0.04129937501792223,0.0,0.0,3.2000000000000005e-05,1.2800000000000004e-12,0.041299567081922235,0.0,-0.06966239103122013,-0.08150930472065357
