workload,seed,rival,du,incremental_search_s,n_be
vqc,3,joint_rf,-0.004914766244816904,0.0,inf
vqc,4,joint_rf,-0.015082832257774792,4.011881456851615,inf
vqc,5,joint_rf,0.023456718369813598,5.265342311035034,224.47054306671438
vqc,6,joint_rf,0.0790262990329417,4.459897678247563,56.435613622605274
vqc,7,joint_rf,0.006187037895776404,0.6335366702936742,102.39741229420294
vqc,8,joint_rf,-0.00706589992360851,5.32819912975058,inf
vqc,9,joint_rf,0.0362407404378485,2.5854418187605637,71.34075594273519
vqc,10,joint_rf,-0.01627668778624969,0.0,inf
vqc,11,joint_rf,-0.08219828495192513,5.097925462335267,inf
vqc_cancer,0,joint_rf,-5.785209978560052e-05,6.9431582784057,inf
vqc_cancer,1,joint_rf,0.019704172126065893,3.1273808517085864,158.7166835378734
vqc_cancer,2,joint_rf,-0.00018205542262700325,7.378031953807571,inf
vqc_cancer,3,joint_rf,0.0,0.0,inf
vqc_cancer,4,joint_rf,-0.0050822310817849985,4.1658220735829765,inf
vqc_cancer,5,joint_rf,0.0,7.5983083732059375,inf
vqc_cancer,6,joint_rf,-0.003319678424120412,4.449434446247563,inf
vqc_cancer,7,joint_rf,0.006791879522344002,0.3951762786888784,58.183640830026945
vqc_cancer,8,joint_rf,-0.0034790029090763994,2.5546732065780207,inf
vqc_cancer,9,joint_rf,0.0,0.0,inf
vqc_cancer,10,joint_rf,0.0,0.0,inf
vqc_cancer,11,joint_rf,0.0006250000000000006,0.6067508644135531,970.8013830616841
qaoa,0,classical_only,-0.0346406442681747,96.95911646254774,inf
qaoa,1,classical_only,-0.10772241600478702,65.99382831201503,inf
qaoa,2,classical_only,-3.4529619653972388e-06,278.22413160712756,inf
qaoa,3,classical_only,9.05308747667366e-06,88.30607782571433,9754249.923381971
qaoa,4,classical_only,4.865141311399812e-06,117.34506982069568,24119560.421757378
qaoa,5,classical_only,1.5366603158416248,63.0393512402248,41.02360852970835
qaoa,6,classical_only,0.00011341955858301667,18.644708559061204,164387.0668515637
qaoa,7,classical_only,6.635030650400248e-06,30.399035923424783,4581596.909667782
qaoa,8,classical_only,7.0046914700111484e-06,114.13221640558154,16293682.154911513
qaoa,9,classical_only,0.550938253217482,96.59122945030111,175.32133389941228
qaoa,10,classical_only,5.348712637150144e-05,136.4954194855451,2551930.319409933
qaoa,11,classical_only,0.0029989044466998006,143.16133716318174,47737.8788513006
qaoa_channel,0,classical_only,-0.0338471325310828,95.50730823375233,inf
qaoa_channel,1,classical_only,3.019998673300245e-06,269.3134058226672,89176663.6203063
qaoa_channel,2,classical_only,-4.116961810299996e-06,18.31650109679519,inf
qaoa_channel,3,classical_only,-2.569580652800156e-06,432.7090285302494,inf
qaoa_channel,4,classical_only,-2.8818746325600178e-05,240.95706112116184,inf
qaoa_channel,5,classical_only,-2.38615511352e-05,55.298362666958774,inf
