workload,seed,winsor_floor,search_cost_units,utility,utility_p10,service_violation,quality_loss,delay_s
vqc,212,-2,33.0,-0.23760933832611003,-0.23764233344748792,0.0,0.2375,0.0010000000000000002
vqc,212,-4,33.0,-0.23760933832611003,-0.23764233344748792,0.0,0.2375,0.0010000000000000002
vqc,212,-6,33.0,-0.23760933832611003,-0.23764233344748792,0.0,0.2375,0.0010000000000000002
vqc,212,-10,33.0,-0.23760933832611003,-0.23764233344748792,0.0,0.2375,0.0010000000000000002
vqc,212,none,33.0,-0.23760933832611003,-0.23764233344748792,0.0,0.2375,0.0010000000000000002
vqc,213,-2,33.0,-0.1626137463216763,-0.162659913067055,0.0,0.1625,0.0010000000000000002
vqc,213,-4,33.0,-0.1626137463216763,-0.162659913067055,0.0,0.1625,0.0010000000000000002
vqc,213,-6,33.0,-0.1626137463216763,-0.162659913067055,0.0,0.1625,0.0010000000000000002
vqc,213,-10,33.0,-0.1626137463216763,-0.162659913067055,0.0,0.1625,0.0010000000000000002
vqc,213,none,33.0,-0.1626137463216763,-0.162659913067055,0.0,0.1625,0.0010000000000000002
vqc,214,-2,33.0,-0.2164316365757204,-0.22521196001061292,0.0,0.21625000000000005,0.0015359999999999998
vqc,214,-4,33.0,-0.2164316365757204,-0.22521196001061292,0.0,0.21625000000000005,0.0015359999999999998
vqc,214,-6,33.0,-0.2164316365757204,-0.22521196001061292,0.0,0.21625000000000005,0.0015359999999999998
vqc,214,-10,33.0,-0.2164316365757204,-0.22521196001061292,0.0,0.21625000000000005,0.0015359999999999998
vqc,214,none,33.0,-0.2164316365757204,-0.22521196001061292,0.0,0.21625000000000005,0.0015359999999999998
vqc,215,-2,33.0,-0.2614167827821983,-0.27512371070196007,0.0,0.26125000000000004,0.0015359999999999998
vqc,215,-4,33.0,-0.2614167827821983,-0.27512371070196007,0.0,0.26125000000000004,0.0015359999999999998
vqc,215,-6,33.0,-0.2614167827821983,-0.27512371070196007,0.0,0.26125000000000004,0.0015359999999999998
vqc,215,-10,33.0,-0.2614167827821983,-0.27512371070196007,0.0,0.26125000000000004,0.0015359999999999998
vqc,215,none,33.0,-0.2614167827821983,-0.27512371070196007,0.0,0.26125000000000004,0.0015359999999999998
vqc_cancer,210,-2,33.0,-0.06260387952463123,-0.06265006231575027,0.0,0.0625,0.0010000000000000002
vqc_cancer,210,-4,33.0,-0.06260387952463123,-0.06265006231575027,0.0,0.0625,0.0010000000000000002
vqc_cancer,210,-6,33.0,-0.06260387952463123,-0.06265006231575027,0.0,0.0625,0.0010000000000000002
vqc_cancer,210,-10,33.0,-0.06260387952463123,-0.06265006231575027,0.0,0.0625,0.0010000000000000002
vqc_cancer,210,none,33.0,-0.06260387952463123,-0.06265006231575027,0.0,0.0625,0.0010000000000000002
vqc_cancer,211,-2,33.0,-0.06228354090462327,-0.06748900992484941,0.0,0.05937500000000001,0.03984024413423464
