experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,cfg_p,cfg_opt_iters,cfg_warm_start,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10,size,eval_wall_s,search_wall_s
exp7,qaoa,5,joint_mf,60.0,72.72000000000014,138.48764401571717,3.0,20.0,0.0,512.0,1.0,1.0,classical,0.04598828716567185,0.0053578852384816855,0.0,0.3,0.042863081907853484,0.0,0.005615063729928807,0.0,-1.54661073977491,-5.100779994461293,,,
exp7,qaoa,6,random,10.0,24.0,3.543324006272442,1.0,80.0,1.0,512.0,1.0,1.0,remote_sim,0.023696578487228052,0.07330236100708581,0.0,0.0,1.256144,5.024576000000001e-08,0.08084173729508581,0.0,-0.035483948054158373,-0.08196509999259441,,,
exp7,qaoa,6,joint_bo,10.0,24.0,26.930266255136594,3.0,40.0,1.0,512.0,1.0,1.0,remote_sim,0.010362277818042009,0.07335151300708581,0.0,0.0,1.2684320000000002,5.073728e-08,0.08096464187108579,0.0,-0.02222627853732642,-0.022175653873695578,,,
exp7,qaoa,6,joint_mf,10.0,24.0,137.74663900660047,2.0,80.0,1.0,512.0,0.0,1.0,qpu_B,0.016926127490877182,2.0976711612377152,0.45,0.0,5.5120000000000005,0.0005120000000000001,2.1563431612377153,0.0,-1.1251721019329444,-2.397089181510316,,,
exp7,qaoa,6,random,60.0,72.0,455.93214404783254,1.0,40.0,1.0,2048.0,0.0,2.0,remote_sim,0.0,0.22436111599769498,0.05,0.0,1.256144,5.024576000000001e-08,0.23190049228569495,0.0,-0.1186019745024904,-0.03224249091882405,,,
exp7,qaoa,6,joint_bo,60.0,72.0,180.14442372161224,1.0,80.0,1.0,128.0,0.0,2.0,classical,0.14991317047558095,0.005461051739985123,0.0,0.1,0.043688413919880986,0.0,0.005723182223504409,0.0,-0.6505452087740959,-0.799961182505418,,,
exp7,qaoa,6,joint_mf,60.0,72.72000000000014,37.75326544683039,3.0,40.0,0.0,128.0,1.0,0.0,classical,0.14991317047558095,0.005418324290076271,0.0,0.1,0.043346594320610166,0.0,0.005678403855999931,0.0,-0.6505407312492997,-0.7999556677553101,,,
exp7,qaoa,7,random,10.0,24.0,21.96689076942991,3.0,20.0,1.0,2048.0,1.0,1.0,classical,0.016555898761720034,0.005386666278354824,0.0,0.0,0.04309333022683859,0.0,0.005645226259715855,0.0,-0.01712868511254379,-0.02460983621807044,,,
exp7,qaoa,7,joint_bo,10.0,24.0,2.566614313104537,3.0,20.0,1.0,128.0,1.0,2.0,classical,0.016555898761720034,0.0055734791967552155,0.0,0.0,0.044587833574041724,0.0,0.005841006198199466,0.0,-0.017150772082086412,-0.02464831561515824,,,
exp7,qaoa,7,joint_mf,10.0,24.0,50.65553952231225,3.0,40.0,0.0,512.0,0.0,1.0,classical,0.016555898761720034,0.00552768720081076,0.0,0.0,0.04422149760648608,0.0,0.005793016186449677,0.0,-0.017144573862936704,-0.02462998658359128,,,
exp7,qaoa,7,random,60.0,72.0,471.0312157039744,1.0,20.0,0.0,2048.0,1.0,2.0,classical,0.016555898761720034,0.005334833724191412,0.0,0.0,0.0426786697935313,0.0,0.005590905742952601,0.0,-0.01712394889091528,-0.02460969740920701,,,
exp7,qaoa,7,joint_bo,60.0,72.0,379.7096587143677,3.0,40.0,1.0,2048.0,1.0,0.0,classical,0.016555898761720034,0.005506479210453108,0.0,0.0,0.044051833683624864,0.0,0.005770790212554857,0.0,-0.01714241649920994,-0.024629314659933906,,,
exp7,qaoa,7,joint_mf,60.0,72.72000000000014,40.63213316863122,1.0,80.0,0.0,512.0,1.0,0.0,classical,0.016555898761720034,0.005373665917431936,0.0,0.0,0.042989327339455485,0.0,0.005631601881468668,0.0,-0.017128064687331957,-0.024614079444266013,,,
exp7,qaoa,8,random,10.0,24.0,21.63940343165512,1.0,80.0,1.0,512.0,0.0,0.0,classical,0.06450418858972079,0.005368541227653623,0.0,0.0,0.04294832982122898,0.0,0.005626231206580996,0.0,-0.06517367318625884,-0.20888062084601453,,,
exp7,qaoa,8,joint_bo,10.0,24.0,63.306040741911936,2.0,80.0,1.0,512.0,0.0,0.0,qpu_B,0.051613040813686485,0.7754663557687502,0.15,0.0,5.5120000000000005,0.0005120000000000001,0.8341383557687502,0.0,-0.46324176395905586,-2.104853609939869,,,
exp7,qaoa,8,joint_mf,10.0,24.0,80.81979663432577,1.0,20.0,0.0,2048.0,1.0,0.0,local_sim,0.0,1.9760800000000007,0.7,0.0,15.808640000000006,0.0,2.07093184,0.0,-1.6330891312185538,-2.311875433766122,,,
exp7,qaoa,8,random,60.0,72.0,375.37736996041235,1.0,80.0,1.0,2048.0,1.0,1.0,remote_sim,0.0,0.10508400831768536,0.0,0.0,1.256144,5.024576000000001e-08,0.11262338460568537,0.0,-0.014879636475759971,-0.019267600457713804,,,
